country,i1990,i1995,i2000,i2005,i2010,i2015,i2020,e1990,e1995,e2000,e2005,e2010,e2015,e2020,g1990,g1995,g2000,g2005,g2010,g2015,g2020
Singapore,156444,168100,192930,235683,282421,324639,348464,727262,991492,1351691,1710594,2164794,2483405,2523648,9.820899557,7.175401121,9.038316326,7.366322393,14.51974971,2.976799316,-4.143105621
Sint Maarten (Dutch part),156444,168100,192930,235683,282421,324639,348464,727262,991492,1351691,1710594,2164794,2483405,2523648,0,0,0,0,3.199994022,0.4,0
Slovenia,91447,108611,118659,119399,122948,136538,160197,178077,174419,214508,217218,253786,237616,277964,0,0,3.67237155,3.797972642,1.343748472,2.210081607,-4.321369905
Solomon Islands,2212,2542,2728,2999,3371,3886,4270,4226,4178,3981,3271,2760,2585,2520,2.2,10.08861539,-14.27699959,7.357841934,9.708388169,1.676146156,-3.382047485
Somalia,848055,968956,1006128,1060953,1595328,2008490,2034221,478294,19527,20097,20768,48106,40990,58590,-1.484075684,0,0,0,0,15.04994147,2.489374346
South Africa,308120,385988,501600,601803,743807,786554,914901,1163883,1003807,1016963,1351031,2114801,3231728,2860495,-0.317760427,3.100000001,4.200000001,5.277051973,3.039732881,1.321862237,-6.342471148
South Sudan,514943,438044,342628,228537,402616,1060678,2575870,0,0,0,0,230732,844112,882252,0,0,0,0,5.493416395,-10.79336463,0
Spain,514943,438044,342628,228537,402616,1060678,2575870,0,0,0,0,230732,844112,882252,3.781393555,2.757494046,5.245943824,3.652084192,0.162919518,3.838518877,-11.32543832
Sri Lanka,883684,923530,979093,1151553,1454292,1656253,1960025,41561,40841,40132,39526,38959,39706,40254,6.399995311,5.500085234,6.000033158,6.241748044,8.01596737,4.205955475,-3.472296819
Sudan,584935,775375,885660,1277632,1235193,1842602,2104887,1402896,1053396,805086,546419,618709,620523,1379147,-5.470053776,5.997092261,6.34586744,5.643515513,3.858241952,1.910176891,-3.629800924
Suriname,177857,191535,211219,248782,258715,254612,273209,18083,22320,27506,33662,39713,43127,47801,-4.500000001,0,2.099998868,4.500000211,5.168825152,-3.411096013,-15.97519639
Sweden,205942,225655,256610,267953,291904,302408,327581,788767,936022,1003798,1125790,1337214,1602522,2003908,0.754674769,3.935192926,4.766348871,2.85880324,5.952107008,4.489281588,-2.170213179
Switzerland,325580,339249,370442,502289,624385,644855,713623,1392282,1478829,1570756,1805437,2075182,2258196,2491249,3.47455211,0.480866449,3.958719719,2.749698985,3.243397336,1.644627687,-2.37556328
Syrian Arab Republic,620285,661278,707070,813361,1057322,6447843,8457214,714140,830610,834916,882398,1783595,835716,868711,3.739555902,7.026589543,0.675642589,6.215077835,5.191905841,-4.179791613,-3.873681686
Tajikistan,537699,555426,541183,586235,584647,585060,586851,428900,348347,299499,280466,279808,275101,276031,-0.599999631,-12.41632223,8.324324495,6.699998517,6.499999086,6.019303318,4.400049702
Thailand,306924,411878,531028,631678,769257,921690,1086985,528693,809720,1257821,2195610,3234381,3470220,3632496,11.16716344,8.120315346,4.455247043,4.187638429,7.513390533,3.134047249,-6.19548916
Timor-Leste,11261,79050,148339,94961,35037,37325,39588,8954,9743,10602,11286,11540,8520,8399,0,0,0,2.987649098,9.329424057,2.763221773,31.91448717
Togo,193827,309616,267164,405803,417178,495380,545409,84844,101583,137968,204219,255564,277384,279936,-0.243656134,7.845832319,-0.783479606,-4.666299382,6.099259163,5.742868453,1.752824967
Tonga,32665,38208,46444,48337,51521,59203,74550,2911,3274,3684,4301,4607,3954,3742,-2.044091435,7.378535826,0.875990063,0.081033894,0.803490183,1.171888256,0.488645323
Trinidad and Tobago,197440,251142,307795,322906,350517,368633,330519,50666,45994,41753,44812,48226,50021,78849,1.509167843,3.809913144,6.901359591,6.20893788,3.32322471,-0.755621962,-7.678331161
Tunisia,465549,476933,486964,579009,615732,774376,902268,37984,37867,36719,35040,43172,56532,60145,7.949819437,2.351669851,4.709972914,3.486545543,2.971132751,0.967496905,-8.621135487
Turkiye,2512944,2771731,2847334,2577305,2708930,3073534,3411408,1163686,1216173,1280963,1324108,1373749,4346197,6052652,9.266146671,7.878266876,6.933239705,8.992304936,8.427104323,6.084486904,1.940032245
Turkmenistan,260005,243523,224398,231939,234635,238531,242554,306500,273565,219067,213053,197979,196376,194920,35.38455811,-7.200040934,5.469064133,13.03403487,9.199999988,6.49999991,0
Turks and Caicos Islands,260005,243523,224398,231939,234635,238531,242554,306500,273565,219067,213053,197979,196376,194920,0,0,0,0,0,11.31483413,-26.78287693
Tuvalu,2350,2738,2611,2917,3011,3203,3670,318,263,218,209,220,230,239,0,-5.004437317,-0.970599814,-4.651162791,-2.222222222,10.41666667,1.515151515
Uganda,311591,361969,517776,586602,731768,786229,781440,544273,606987,584280,593308,492930,851175,1720313,6.474140153,11.52324381,3.141907339,6.332565116,5.637611638,5.187859862,2.951306422
Ukraine,311591,361969,517776,586602,731768,786229,781440,544273,606987,584280,593308,492930,851175,1720313,-6.345235128,-12.2,5.9,3.071230392,4.092004367,-9.772987213,-3.7528041
United Arab Emirates,79499,97928,111082,125618,155609,178324,203214,1306574,1824118,2447010,3281115,7316697,7995126,8716332,18.32798553,6.687886464,10.85270421,4.855141196,1.602850048,6.786772879,-4.957052437
United Kingdom,79499,97928,111082,125618,155609,178324,203214,1306574,1824118,2447010,3281115,7316697,7995126,8716332,0.733755503,2.531669964,4.092653478,2.668337657,2.430072895,2.393103184,-11.03085846
Tanzania,537699,555426,541183,586235,584647,585060,586851,428900,348347,299499,280466,279808,275101,276031,7.045071642,3.569911868,4.520784635,7.476319258,6.336523427,6.160628774,1.996343506
United States,203043,229151,215460,234918,262172,294102,327863,574025,1106043,949600,771153,309847,384567,426017,1.885964957,2.684217272,4.077159479,3.48322032,2.708856694,2.706369582,-2.767802511
Virgin Islands (U.S.),1505588,1842320,2158532,2376225,2630742,2909491,3392025,28118,51262,56754,51768,61756,72793,76767,0,0,0,3.485309017,0.596383224,-0.425079702,-2.14700682
Uruguay,237486,233993,235641,298986,338438,353225,367060,98116,93428,88874,82317,76303,78799,108267,0.297348379,-1.447598969,-1.929930638,7.460132138,7.803409666,0.370741265,-6.12147628
Uzbekistan,1427980,1515731,1575965,1730224,1888942,1976024,2027823,1653000,1512577,1406498,1329932,1220149,1170873,1162007,1.600000006,-0.900000006,3.834999999,6.950007197,7.597167961,7.218773508,1.886245259
Vanuatu,4869,5611,6242,7264,7692,6751,7246,2308,2461,2626,2800,2991,3186,3257,11.6956998,1.003945041,5.924809057,5.305326473,1.258867203,0.366522075,-5.396254215
"Venezuela, RB",185492,241864,317753,437087,560528,709140,5415337,1025009,1019996,1013738,1076474,1347347,1404448,1324193,6.467940853,3.951662724,3.686944167,10.3179138,-1.488791251,0,0
Vietnam,1505588,1842320,2158532,2376225,2630742,2909491,3392025,28118,51262,56754,51768,61756,72793,76767,5.100918139,9.540480175,6.787316408,7.547247727,6.423238217,6.987166724,2.865411946
Sub-Saharan Africa (IDA & IBRD countries),1812673,2274589,2767331,3258102,3539908,3773988,4022791,288332,281767,275202,274520,273840,273163,272784,2.479921243,3.345448013,3.506941415,6.005079473,5.955931724,2.827255249,-2.068856312
"Yemen, Rep.",455492,486249,529396,628869,876383,1095240,1301166,118863,136515,144940,171871,288394,379882,387113,0,5.669371322,6.181915593,5.591748076,7.70230704,-27.99454625,0
Zambia,85201,140895,160201,181499,182766,184371,200700,279463,244338,343703,252895,149962,132107,187955,-0.481072028,2.897668893,3.897322943,7.235599007,10.29822332,2.920375112,-2.785055065
Zimbabwe,204363,287995,351985,500773,754643,1167064,1243314,634621,431226,410109,402226,398307,400482,416141,6.988552933,0.158025687,-3.059189749,-5.711083707,21.45206092,2.023649996,-7.816950647
